Software Name,Version,Manufacturer,License Type,Installations,Access Type,Detected At
Java 8 Update 131 (64-bit),8.0.1310.11,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 16, 2022 11:00 PM"
Java 8 Update 144 (64-bit),8.0.1440.1,Oracle Corporation,Unidentified,2,Not Assigned,"Jun 25, 2022 10:10 AM"
Java 8 Update 261,8.0.2610.12,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 09:32 AM"
Java 8 Update 261 (64-bit),8.0.2610.12,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 6, 2022 04:07 AM"
Java 8 Update 321 (64-bit),8.0.3210.7,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 7, 2022 11:42 PM"
Java 8 Update 333 (64-bit),8.0.3330.2,Oracle Corporation,Unidentified,2,Not Assigned,"Jun 7, 2022 04:05 PM"
Java 8 Update 341,8.0.3410.10,Oracle Corporation,Unidentified,5,Not Assigned,"Jul 27, 2022 03:15 AM"
Java 8 Update 341 (64-bit),8.0.3410.10,Oracle Corporation,Unidentified,6,Not Assigned,"Jul 27, 2022 03:24 PM"
Java 8 Update 351,8.0.3510.10,Oracle Corporation,Unidentified,3,Not Assigned,"Oct 19, 2022 03:11 PM"
Java 8 Update 351 (64-bit),8.0.3510.10,Oracle Corporation,Unidentified,11,Not Assigned,"Oct 21, 2022 11:32 AM"
Java 8 Update 40 (64-bit),8.0.400,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 23, 2022 11:30 AM"
Java Auto Updater,2.8.333.2,Oracle Corporation,Unidentified,2,Not Assigned,"Jun 10, 2022 11:22 AM"
Java Auto Updater,2.8.131.11,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 16, 2022 11:00 PM"
Java Auto Updater,2.8.40.26,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 23, 2022 11:30 AM"
Java Auto Updater,2.8.261.12,Oracle Corporation,Unidentified,2,Not Assigned,"Jun 25, 2022 09:32 AM"
Java Auto Updater,2.8.144.1,Oracle Corporation,Unidentified,2,Not Assigned,"Jun 25, 2022 10:10 AM"
Java Auto Updater,2.8.341.10,Oracle Corporation,Unidentified,10,Not Assigned,"Jul 27, 2022 03:15 AM"
Java Auto Updater,2.8.321.7,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 7, 2022 11:42 PM"
Java Auto Updater,2.8.351.10,Oracle Corporation,Unidentified,13,Not Assigned,"Oct 19, 2022 03:11 PM"
Java SE Development Kit 8 Update 101 (64-bit),8.0.1010.13,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 02:31 AM"
Java SE Development Kit 8 Update 102 (64-bit),8.0.1020.14,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 6, 2022 04:07 AM"
Java SE Development Kit 8 Update 112 (64-bit),8.0.1120.15,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 1, 2022 02:23 PM"
Java SE Development Kit 8 Update 121 (64-bit),8.0.1210.13,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 8, 2022 05:46 AM"
Java SE Development Kit 8 Update 131 (64-bit),8.0.1310.11,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 20, 2022 12:26 PM"
Java SE Development Kit 8 Update 201 (64-bit),8.0.2010.9,Oracle Corporation,Unidentified,1,Not Assigned,"Dec 16, 2021 08:01 PM"
Java SE Development Kit 8 Update 202 (64-bit),8.0.2020.8,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 22, 2022 01:26 PM"
Java SE Development Kit 8 Update 211 (64-bit),8.0.2110.12,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 8, 2022 05:46 AM"
Java SE Development Kit 8 Update 291 (64-bit),8.0.2910.10,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 16, 2022 05:32 PM"
Java SE Development Kit 8 Update 40 (64-bit),8.0.400.26,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 23, 2022 11:30 AM"
Java SE Development Kit 8 Update 91 (64-bit),8.0.910.14,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 12:57 AM"
Java(TM) SE Development Kit 11.0.16 (64-bit),11.0.16.0,Oracle Corporation,Unidentified,1,Not Assigned,"Aug 11, 2022 03:00 PM"
Java(TM) SE Development Kit 11.0.5 (64-bit),11.0.5.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
Java(TM) SE Development Kit 11.0.9 (64-bit),11.0.9.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
Java(TM) SE Development Kit 12.0.2 (64-bit),12.0.2.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:01 AM"
Java(TM) SE Development Kit 13 (64-bit),13.0.0.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:01 AM"
Java(TM) SE Development Kit 17.0.1 (64-bit),17.0.1.0,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 7, 2022 11:42 PM"
Java(TM) SE Development Kit 17.0.4 (64-bit),17.0.4.0,Oracle Corporation,Unidentified,1,Not Assigned,"Aug 30, 2022 05:03 PM"
Java(TM) SE Development Kit 17.0.4.1 (64-bit),17.0.4.1,Oracle Corporation,Unidentified,2,Not Assigned,"Aug 31, 2022 11:47 PM"
Java(TM) SE Development Kit 17.0.5 (64-bit),17.0.5.0,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 24, 2022 09:43 PM"
Java(TM) SE Development Kit 18.0.1 (64-bit),18.0.1.0,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 6, 2022 04:08 AM"
MySQL Connector C++ 8.0,8.0.31,Oracle Corporation,Unidentified,1,Not Assigned,"Oct 27, 2022 01:16 AM"
MySQL Connector J,8.0.20,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 01:23 AM"
MySQL Connector J,8.0.22,Oracle Corporation,Unidentified,2,Not Assigned,"Jul 1, 2022 11:42 PM"
MySQL Connector/ODBC 3.51,3.51.30,Oracle Corporation,Unidentified,4,Not Assigned,"Jun 25, 2022 12:40 AM"
MySQL Connector/ODBC 5.1,5.1.13,Oracle Corporation,Unidentified,4,Not Assigned,"Jun 25, 2022 12:40 AM"
MySQL Connector/ODBC 5.1,5.1.11,Oracle Corporation,Unidentified,1,Not Assigned,"Jun 25, 2022 12:57 AM"
MySQL Connector/ODBC 5.3,5.3.9,Oracle Corporation,Unidentified,3,Not Assigned,"Jun 30, 2022 01:50 AM"
MySQL Connector/ODBC 5.3,5.3.4,Oracle Corporation,Unidentified,1,Not Assigned,"Jul 12, 2022 03:34 PM"
